DATE,REVENUE,US,WORLD,ADVERTISING,ACTIVE USER
1/1/2014,279,279,,44,
4/1/2014,295,295,,43,
7/1/2014,336,336,,50,
10/1/2014,409,409,,55,
1/1/2015,424,424,,58,
4/1/2015,492,492,,62,
7/1/2015,594,594,,71,
10/1/2015,740,740,,88,
1/1/2016,747,706,41,98,
4/1/2016,787,733,54,94,
7/1/2016,862,788,74,101,
10/1/2016,985,884,101,116,
1/1/2017,961,858,103,118,8.9
4/1/2017,1123,997,126,124,9.5
7/1/2017,1198,1050,148,142,10.3
10/1/2017,1439,1247,192,166,11
1/1/2018,1404,1202,202,162,11.8
4/1/2018,1655,1411,244,178,12.8
7/1/2018,1706,1473,233,203,13.9
10/1/2018,2014,1727,287,232,15.2
1/1/2019,1945,1658,287,244,16.4
4/1/2019,2343,2000,343,259,17.8
7/1/2019,2305,1966,339,282,19.1
10/1/2019,2533,2140,393,311,20.3
1/1/2020,2330,1975,355,276,21.1
4/1/2020,4305,3652,653,418,26
7/1/2020,3840,3275,565,344,28.8
10/1/2020,3671,2999,672,374,31.2
1/1/2021,3478,2821,657,366,33.2
4/1/2021,3858,3098,760,352,31.1
7/1/2021,3121,2595,526,315,29.2
10/1/2021,3252,2735,517,345,27.3
